epoch,acc,loss,val_acc,val_loss
0,0.78025,0.5889653837084771,0.8543333333333333,0.3851627777020136
1,0.8646875,0.37246330034732816,0.8864166666666666,0.3080384146769842
2,0.8804791666666667,0.3241408199171225,0.8960833333333333,0.2754925875266393
3,0.889625,0.29864198904236156,0.90275,0.2671904116074244
4,0.8959166666666667,0.27923972645401957,0.9074166666666666,0.25262807770570117
5,0.9004166666666666,0.2679661805331707,0.9129166666666667,0.23448766881227492
6,0.9057708333333333,0.25334806087613104,0.9106666666666666,0.24103282562891643
7,0.9087916666666667,0.2450581643184026,0.9194166666666667,0.22665194642543793
8,0.910375,0.23965328299999236,0.91025,0.2425203900138537
9,0.9129583333333333,0.23177696436146894,0.9189166666666667,0.22369331647952398
10,0.9143958333333333,0.2248515323251486,0.917,0.22785054723421733
11,0.9156666666666666,0.22356808605293432,0.92175,0.22045406839748224
12,0.9166666666666666,0.22087192870676517,0.92,0.21619043951233227
13,0.9194583333333334,0.21322334730128448,0.92425,0.21369621203343073
14,0.91925,0.21135192400217057,0.9236666666666666,0.212864512304465
15,0.9220625,0.20541220391790072,0.9216666666666666,0.21452344900369644
16,0.923125,0.20439828894038994,0.9193333333333333,0.2198426001469294
17,0.924375,0.20015378901859124,0.92475,0.2147582201063633
18,0.9253125,0.197105670645833,0.9260833333333334,0.2103953394939502
19,0.9266458333333333,0.19503024034947156,0.927,0.20967948279778162
