epoch,acc,loss,val_acc,val_loss
0,0.8335833333333333,0.45786018097400666,0.88075,0.33028573022286095
1,0.8959375,0.28752514959375064,0.8991666666666667,0.28016072589159013
2,0.911125,0.2391124588747819,0.9065,0.2629230704009533
3,0.9223541666666667,0.20878863158822059,0.9120833333333334,0.2478070061504841
4,0.9324375,0.1816855212400357,0.9148333333333334,0.23558460046350957
5,0.9419375,0.1590167269880573,0.9210833333333334,0.22748473802705607
6,0.9476041666666667,0.13999095782885948,0.9168333333333333,0.2431821543922027
7,0.9552916666666667,0.11978839490314325,0.9141666666666667,0.2521109596192837
8,0.9615208333333334,0.10294673756385843,0.92025,0.2480946401655674
9,0.9678958333333333,0.08687886460870504,0.9188333333333333,0.27005924154321354
10,0.9725833333333334,0.07317222657116751,0.9208333333333333,0.2917746422737837
11,0.9753958333333334,0.06537627863387267,0.9178333333333333,0.3113455749955028
12,0.9793958333333334,0.05616427805647254,0.918,0.3429934443552823
13,0.9818958333333333,0.047681781832283984,0.9216666666666666,0.346711624405502
14,0.9847291666666667,0.04173339391701544,0.92175,0.3457602031809123
15,0.9838541666666667,0.04249377140092353,0.9188333333333333,0.4004265114441514
16,0.9868541666666667,0.03586670662121227,0.9196666666666666,0.38615692360450826
17,0.9897083333333333,0.028944014287010458,0.9178333333333333,0.44668413121369666
18,0.9874583333333333,0.034397049798319736,0.9201666666666667,0.4211063634523501
19,0.989125,0.029802226586577794,0.9214166666666667,0.4258600281957964
